Topic.TitleFallBack,Diskussionsthema
Layout.Nav.Admin,Admin
Post.VoteUp,Positiv abstimmen
Topic.UnSubscribe,Abonnement kündigen
Topic.IsLocked,Thema ist geschlossen
Post.Edit,Bearbeiten
Layout.Nav.Home,Startseite
Stats.LatestMembers,Neueste Mitglieder:
Post.PleaseWait,Bitte warten...
Post.VoteDown,Negativ abstimmen
LogOn.LogOff,Abmelden
Layout.Nav.Activity,Aktivitäten
Layout.PoweredBy,Powered by 
Post.LastEdited,Zuletzt bearbeitet:
Topic.InCategory, in 
Topic.Views,Aufrufe
Post.Report,Melden
Post.IsSolution,Als Lösung markiert
Topic.Comments,Antworten
Post.Points,Punkte
Layout.CreateButton,Neue Diskussion
Tags.PopularTags,Häufige Schlagwörter
Topic.CreateDiscussion,Diskussion erstellen
Topic.StartedBy,{0} von {1}
LogOn.LogOn,Anmelden
Layout.Nav.Leaderboard,Bestenliste
Topic.DiscussionTaggedWith,Diskussionen gekennzeichnet mit:
Post.PostedThis,verfasste dies
Post.Posts,Beiträge
Topic.TagThisTopic,Thema mit Schlagwörtern versehen
Layout.Nav.Register,Registrieren
Topic.Votes,Stimmen
Topic.Subscribe,Abonnieren
Post.Delete,Löschen
Topic.LatestBy,Letzter von
Layout.Nav.Logon,Anmelden
Poll.Button.Remove,Umfrage entfernen
Members.DeleteAllPosts,Alle Beiträge löschen
Members.Profile.IsSocialAccount,Social Network Account
Members.Errors.PasswordAttemptsExceeded,Die maximale Anzahl von Eingabeversuchen des Passworts wurde erreicht.
Date.DaysAgo,vor {0} Tagen
Buttons.LogOn,Anmelden
Members.EditProfile,Profil bearbeiten
Badge.BadegEnumNoClass,Für den Orden-Enum-Typ {0} wurde keine zugehörige Klasse definiert.
Category.CategoriesSideHeading,Kategorien
PM.BackToInbox,Zurück zum Posteingang
PM.ReceivedPrivateMessages,Posteingang
PM.ReceivedItemsOverCapcity,Das Postfach von {0} ist überfüllt - Senden der Nachricht nicht möglich.
Members.Register,Registrieren
Post.Updated,Beitrag aktualisiert
Members.ForgotPassword.ErrorMessage,Fehler beim Zurücksetzen des Passworts.
Topic.CommentsDetails,Antworten
Members.ChangePassword.Text,Neue Passwörter müssen mindestens {0} Zeichen lang sein.
Badges.UnableToAward,Ordenvergabe nicht möglich
Post.Label.LockTopic,Thema schließen
Members.Label.RememberMe,An mich erinnern?
PM.From,Von:
Buttons.Send,Senden
Category.NoDiscussions,Zur Zeit sind keine Diskussionen vorhanden.
Members.Errors.InvalidAnswer,Die Anwort für den Passwort-Erhalt ist ungültig. Bitte Überprüfen Sie Ihre Eingabe.
Post.Label.IsStickyTopic,Oben angeheftetes Thema
Members.Errors.InvalidEmail,Die E-Mail-Adresse ist ungültig. Bitte Überprüfen Sie Ihre Eingabe
Home.Rss,Rss
Badges.PageTitle,Orden
Post.DeleteConfirmation,Wollen Sie sicher löschen?
Members.Label.Facebook,Facebook-Url
Buttons.Save,Speichern
Members.Label.Password,Passwort
Topic.ShowMorePostsLoading,Beiträge werden geladen...
Members.Profile.Points,Punkte:
PM.MessageSubject,Betreff
Members.NowLoggedOut,Sie sind nun abgemeldet.
Report.PostReport,Post Report
Members.Points,Punkte
Members.ChangePassword.Link,Klicken Sie hier zum {0}
