Activity.ActivityTitle,Activity
Activity.Badge,badge 
Activity.ProfileUpdated,has an updated profile
Activity.UserAwardedBadge,has been awarded the
Activity.UserJoined,is a new member in the forum
Admin,Admin
Ajax.PleaseWait,Please Wait...
Badge.AuthorMarkAsSolution.Desc,This badge is awarded to a user when they mark another users post as the solution to their topic
Badge.AuthorMarkAsSolution.Name,Your Question Solved
Badge.BadegEnumNoClass,The badge enum type {0} has no corresponding class specified.
Badge.FavouriteFirstPost.Desc,You have Favourited your first post
Badge.FavouriteFirstPost.Name,First Favourite
Badge.JediMaster.Desc,Had 50 or more posts successfully marked as an answer
Badge.JediMaster.Name,Jedi Master
Badge.MemberForAYear.Desc,This badge is awarded to a user after their first year anniversary
Badge.MemberForAYear.Name,First Anniversary
Badge.OneThousandPoints.Desc,This badge is awarded to users who have received 1000 points
Badge.OneThousandPoints.Name,Thousand Pointer
Badge.Padawan.Desc,Had 10 or more posts successfully marked as an answer
Badge.Padawan.Name,Padawan
Badge.Photogenic.Desc,Little things like uploading a profile picture make the community a better place. Thanks!
Badge.Photogenic.Name,Photogenic
Badge.PosterMarkAsSolution.Desc,This badge is awarded to a user when their post is marked as the solution to a topic
Badge.PosterMarkAsSolution.Name,Post Selected As Answer
Badge.PosterVoteUp.Desc,This badge is awarded to users after they receive their first vote up from another user
Badge.PosterVoteUp.Name,First Vote Up Received
Badge.PostMentionsUmbraco.Desc,This badge is awarded to a user who mentions Umbraco in their latest post
Badge.PostMentionsUmbraco.Name,Umbraco Fan
Badge.TheGrouch.Desc,This badge is awarded to users who have voted down other users posts 10 or more times
Badge.TheGrouch.Name,The Grouch
Badge.UnknownBadge,Unknown badge type {0}
Badge.UserVoteUp.Desc,This badge is awarded to users after they make their first vote up
Badge.UserVoteUp.Name,You've Given Your First Vote Up
Badge.YourPostFavourited.Desc,You have one or more posts that have been Favourited by another member
Badge.YourPostFavourited.Name,Favourited Post
Badge.YourPostFavouritedTenTimes.Desc,One or more of your posts have been Favourited by 10 or more people
Badge.YourPostFavouritedTenTimes.Name,Recognised Post
Badges.AwardsPoints,Awards {0} points
Badges.PageTitle,Badges
Badges.UnableToAward,Unable to award badges as badge collection is null for user {0}
Buttons.ChangePassword,Change Password
Buttons.Continue,Continue
Buttons.CreatePost,Add Post
Buttons.Edit,Edit
Buttons.LogOn,Log On
Buttons.Report,Report
Buttons.ResetPassword,Reset Password
Buttons.Save,Save
Buttons.Search,Search
Buttons.Send,Send
Category.AllCategories,All Categories
Category.CategoriesSideHeading,Categories
Category.MostRecent,Most recent:
Category.NoDiscussions,Currently no discussions in this category
Category.SubCategoriesHeading,Sub Categories In
Confirmation.DeleteMembersPosts,Are you sure? This will delete all the members posts and topics!
Confirmation.SrubAndBan,Are you sure you want to do this? It will delete all their posts and then ban them
Date.DaysAgo,{0} days ago
Date.HoursAgo,{0} hours ago
Date.JustNow,Just now
Date.MinutesAgo,{0} minutes ago
Date.OneHourAgo,1 hour ago
Date.OneMinuteAgo,1 minute ago
Date.WeeksAgo,{0} weeks ago
Date.Yesterday,yesterday
Editor.NeedHelp,Need formatting help?
Error.EmailIsBanned,The email address or domain you are trying to use is banned
Error.WrongAnswerRegistration,There was an error with your answer. Please try again
Errors.GenericMessage,Sorry an error occured
Errors.NoAccess,No Access
Errors.NoPermission,You do not have permission to perform this action
Errors.NoPermissionPolls,Topic Created. But you do not have permission to create polls
Errors.NothingToDisplay,Nothing To Display
Facebook.Error.EnabledButNotAddedKeys,You have enabled Facebook login but not added your AppId or Secret key to the forum.config
