Layout.Nav.Register,Регистрация
Layout.Nav.Logon,Вход
Layout.Nav.Activity,Активность
Layout.Nav.Leaderboard,Лидеры
Layout.Nav.Home,Главная
Layout.Nav.Admin,Панель управления
Layout.CreateButton,Добавить тему
Layout.PoweredBy,Работает на
Topic.Votes,Голоса
Topic.Comments,Ответы
Topic.StartedBy,Создано {0} пользователем {1}
Topic.InCategory,в
Topic.LatestBy,Новое
Topic.Views,Просмотров
Post.VoteUp,Нравится
Post.VotedUp,Понравилось
Post.VoteDown,Не нравится
Post.VotedDown,Не понравилось
Post.IsSolution,Отметить решением
Post.PostedThis,написал
Post.Posts,Сообщения
Post.Points,Очки
Post.LastEdited,Отредактировано
Post.Report,Жалоба
Post.Edit,Правка
Post.Delete,Удалить
Post.Move,Перенос
Post.Reply,Ответить
Post.ReplyingTo,Кому:
LogOn.LogOn,Вход
LogOn.LogOff,Выход
Post.PleaseWait,Подождите, пожалуйста
Topic.DiscussionTaggedWith,Тема отмечена:
Topic.TitleFallBack,Тема
Topic.Subscribe,Подписаться
Topic.UnSubscribe,Отписаться
Topic.IsLocked,Тема закрыта
Topic.CreateDiscussion,Начать тему
Topic.TagThisTopic,Пометить тему
Topic.Choose,Выберите существующую тему
Tags.PopularTags,Популярные метки
Tags.NoCreatePermission,У вас нет разрешения на создание новых тегов, вы можете использовать только существующие
Stats.FooterMainStatText,{0} пользователей добавили {1} сообщений в {2} темах
Stats.LatestMembers,Новые пользователи:
PM.Title,Сообщение:
PM.From,От:
PM.Sent,Отправленные:
PM.BackToInbox,Назад во Входящие
PM.Reply,Ответ
PM.SentPrivateMessages,Отправлено личное сообщение
PM.To,Кому
PM.Subject,Тема
PM.Date,Дата
PM.Read,Прочитать
PM.Delete,Удалить
PM.NoMessages,У Вас нет личных сообщений
PM.Create,Новое
PM.ReceivedPrivateMessages,Полученные личные сообщения
PM.CreatePrivateMessage,Написать личное сообщение
PM.Send,Отправить
PM.OriginalMessage,Исходное сообщение
Buttons.Send,Отправить
Report.ReportPostBy,Пожаловаться на сообщение:
Buttons.Edit,Правка
Points.ThisWeeksHighEarners,Лидеры недели
SideBox.MyTools,Инструменты
PM.PrivateMessages,Личные сообщения
Members.SearchMembers,Поиск пользователей
Buttons.Search,Поиск
Members.Users,Пользователи
Members.Points,Очки
Members.DateJoined,Дата регистрации
Report.Report,Жалоба
Members.Register,Регистрация
Members.AlreadyRegistered,Вы уже зарегистрированы? Зачем Вам делать это еще раз?
Members.LogOnMessage,Введите, пожалуйста, логин и пароль. Или {0} если у Вас нет аккаунта
Buttons.LogOn,Вход
Members.ProfileTitle,Профиль
Members.Profile.Joined,Дата регистрации:
Members.Profile.Posts,Сообщений:
Members.Profile.Points,Очки:
Buttons.Report,Жалоба
Members.Profile.Age,Возраст:
Members.Profile.Location,Откуда:
Members.Profile.Website,Сайт:
Members.Profile.Twitter,Twitter:
Members.Profile.Facebook,Facebook:
Members.Profile.DiscussionActivity,Сообщения
Ajax.PleaseWait,Пожалуйста, подождите...
Members.Profile.Badges,Значки
Members.EditProfile,Редактировать профиль
Buttons.Save,Сохранить
Buttons.Continue,Continue
Members.EditMember,Редактировать
Leaderboard.ThisWeeksStars,Лучшие за неделю
Leaderboard.ThisYearsStars,Лучшие за год
Leaderboard.LeaderboardTitle,Глобальные лидеры
Home.LatestDiscussions,Новые темы
Home.Rss,Rss
Activity.ActivityTitle,Активность
Notification.Subscribe,Подписаться
Notification.UnSubscribe,Отписаться
Category.NoDiscussions,В этой категории пока нет тем
Category.CategoriesSideHeading,Категории
PM.RecipientUsername,Получатель
PM.MessageSubject,Тема
Post.Label.TopicName,Название темы
Post.Label.IsStickyTopic,Важная тема
Post.Label.LockTopic,Закрыть тему
Post.label.TopicCategory,Категория темы
Members.Label.Username,Имя пользователя
Members.Label.EmailAddress,E-mail (используется Gravatar для отображения аватара)
Members.Label.Password,Пароль
Members.Label.ConfirmPassword,Подтвердить пароль
Members.Label.UserIsApproved,Пользователь одобрен
Members.Label.Comment,Комментарий
Members.Label.Roles,Роли
Members.Label.Signature,Подпись
Members.Label.Age,Возраст
Members.Label.Location,Откуда
Members.Label.Website,Сайт
Members.Label.Twitter,Twitter
Members.Label.Facebook,Facebook
Members.Label.RememberMe,Запомнить меня?
Members.Label.Users,Пользователи
Members.Label.DateJoined,Дата регистрации
Errors.NoAccess,Доступ запрещен
Errors.GenericMessage,Извините, произошла ошибка
Errors.NoPermission,Вы не можете это сделать
Topic.Notification.NewTopics,Новая тема или метка создана в категории {0}
Topic.Notification.Subject,Новая тема в
PM.SendingToQuickly,Вы пытаетесь отправить сообщение слишком быстро
PM.SentItemsOverCapcity,Папка Исходящие переполнена - удалите сообщения, чтобы иметь возможность создать новое
PM.ReceivedItemsOverCapcity,{0} папка Входящие у получателя(-ей) переполнена. Невозможно отправить сообщение
PM.MessageSent,Сообщение отправлено
PM.UnableFindMember,Пользователь не найден
PM.TalkToSelf,Общаться с самим собой немного странно, разве нет?
Post.Updated,Сообщение обновлено
Topic.Deleted,Тема удалена
Post.Deleted,Сообщение удалено
Post.Notification.NewPosts,Новое сообщение в теме {0}
Post.Notification.Subject,Новое сообщение в
Report.ReportSent,Жалоба отправлена
Members.NowRegistered,Вы зарегистрированы
Members.NowRegisteredNeedApproval,Вы зарегистрированы, но ваш профиль должен быть одобрен администратором
Members.NowLoggedIn,Вы вошли в систему
Members.Errors.PasswordIncorrect,Неверные логин и/или пароль.
Members.Errors.PasswordAttemptsExceeded,Превышено допустимое количество попыток входа.
Members.Errors.UserLockedOut,Пользователь заблокирован.
Members.Errors.UserNotApproved,Пользователь не одобрен.
